"prod_id","loja_id","forma_pgmt_id","cliente_id","quantidade","imposto_5_percent","total","data_venda","hora","cogs","renda_bruta","margem_bruta_percent"
375,1,3,8,5,"16.77","352.22","2019-01-03","16:47:00","335.45","16.77","4.76"
929,3,1,17,6,"18.95","397.85","2019-01-03","20:24:00","378.90","18.95","4.76"
206,1,1,8,9,"10.36","217.63","2019-01-03","12:02:00","207.27","10.36","4.76"
171,1,1,6,5,"17.50","367.55","2019-01-03","11:36:00","350.05","17.50","4.76"
171,1,1,6,5,"17.50","367.55","2019-01-03","11:36:00","350.05","17.50","4.76"
542,2,3,25,1,"3.79","79.67","2019-01-03","10:30:00","75.88","3.79","4.76"
981,3,3,12,8,"24.80","520.80","2019-01-03","19:08:00","496.00","24.80","4.76"
375,1,3,8,5,"16.77","352.22","2019-01-03","16:47:00","335.45","16.77","4.76"
272,2,2,24,2,"2.11","44.35","2019-01-03","19:17:00","42.24","2.11","4.76"
542,2,3,25,1,"3.79","79.67","2019-01-03","10:30:00","75.88","3.79","4.76"
272,2,2,24,2,"2.11","44.35","2019-01-03","19:17:00","42.24","2.11","4.76"
777,3,2,16,1,"4.67","98.05","2019-01-03","13:07:00","93.38","4.67","4.76"
777,3,2,16,1,"4.67","98.05","2019-01-03","13:07:00","93.38","4.67","4.76"
929,3,1,17,6,"18.95","397.85","2019-01-03","20:24:00","378.90","18.95","4.76"
981,3,3,12,8,"24.80","520.80","2019-01-03","19:08:00","496.00","24.80","4.76"
270,1,1,15,10,"17.77","373.17","2019-01-04","13:34:00","355.40","17.77","4.76"
413,1,2,25,5,"5.24","110.09","2019-01-04","13:21:00","104.85","5.24","4.76"
157,3,2,19,1,"3.61","75.78","2019-01-04","19:40:00","72.17","3.61","4.76"
207,2,3,7,9,"29.99","629.84","2019-01-04","18:19:00","599.85","29.99","4.76"
157,3,2,19,1,"3.61","75.78","2019-01-04","19:40:00","72.17","3.61","4.76"
413,1,2,25,5,"5.24","110.09","2019-01-04","13:21:00","104.85","5.24","4.76"
408,3,2,1,4,"13.74","288.58","2019-01-04","19:01:00","274.84","13.74","4.76"
214,3,3,20,3,"6.96","146.22","2019-01-04","13:24:00","139.26","6.96","4.76"
207,2,3,7,9,"29.99","629.84","2019-01-04","18:19:00","599.85","29.99","4.76"
270,1,1,15,10,"17.77","373.17","2019-01-04","13:34:00","355.40","17.77","4.76"
408,3,2,1,4,"13.74","288.58","2019-01-04","19:01:00","274.84","13.74","4.76"
214,3,3,20,3,"6.96","146.22","2019-01-04","13:24:00","139.26","6.96","4.76"
107,2,3,27,6,"8.21","172.49","2019-01-05","20:54:00","164.28","8.21","4.76"
269,1,3,12,4,"14.15","297.11","2019-01-05","16:05:00","282.96","14.15","4.76"
244,1,2,12,4,"12.53","263.13","2019-01-05","11:25:00","250.60","12.53","4.76"
269,1,3,12,4,"14.15","297.11","2019-01-05","16:05:00","282.96","14.15","4.76"
766,2,3,26,3,"11.41","239.59","2019-01-05","20:30:00","228.18","11.41","4.76"
939,1,3,22,7,"32.86","690.02","2019-01-05","11:51:00","657.16","32.86","4.76"
377,3,3,10,9,"15.92","334.34","2019-01-05","19:50:00","318.42","15.92","4.76"
766,2,3,26,3,"11.41","239.59","2019-01-05","20:30:00","228.18","11.41","4.76"
545,3,3,8,1,"3.56","74.76","2019-01-05","20:40:00","71.20","3.56","4.76"
537,3,3,1,1,"3.70","77.66","2019-01-05","11:32:00","73.96","3.70","4.76"
931,2,1,13,7,"27.61","579.84","2019-01-05","19:48:00","552.23","27.61","4.76"
939,1,3,22,7,"32.86","690.02","2019-01-05","11:51:00","657.16","32.86","4.76"
931,2,1,13,7,"27.61","579.84","2019-01-05","19:48:00","552.23","27.61","4.76"
512,1,1,8,5,"10.73","225.28","2019-01-05","17:29:00","214.55","10.73","4.76"
502,2,1,11,1,"1.60","33.50","2019-01-05","12:40:00","31.90","1.60","4.76"
1,1,1,11,7,"26.14","548.97","2019-01-05","13:08:00","522.83","26.14","4.76"
1,1,1,11,7,"26.14","548.97","2019-01-05","13:08:00","522.83","26.14","4.76"
1,1,1,11,7,"26.14","548.97","2019-01-05","13:08:00","522.83","26.14","4.76"
244,1,2,12,4,"12.53","263.13","2019-01-05","11:25:00","250.60","12.53","4.76"
545,3,3,8,1,"3.56","74.76","2019-01-05","20:40:00","71.20","3.56","4.76"
107,2,3,27,6,"8.21","172.49","2019-01-05","20:54:00","164.28","8.21","4.76"
537,3,3,1,1,"3.70","77.66","2019-01-05","11:32:00","73.96","3.70","4.76"
512,1,1,8,5,"10.73","225.28","2019-01-05","17:29:00","214.55","10.73","4.76"
377,3,3,10,9,"15.92","334.34","2019-01-05","19:50:00","318.42","15.92","4.76"
502,2,1,11,1,"1.60","33.50","2019-01-05","12:40:00","31.90","1.60","4.76"
283,1,2,26,1,"0.77","16.11","2019-01-06","11:09:00","15.34","0.77","4.76"
704,3,2,12,9,"36.21","760.44","2019-01-06","11:18:00","724.23","36.21","4.76"
698,3,1,3,4,"12.44","261.20","2019-01-06","19:46:00","248.76","12.44","4.76"
868,1,1,20,4,"12.92","271.28","2019-01-06","13:35:00","258.36","12.92","4.76"
949,1,2,26,7,"14.90","312.89","2019-01-06","11:51:00","297.99","14.90","4.76"
366,2,2,26,4,"16.34","343.06","2019-01-06","12:12:00","326.72","16.34","4.76"
868,1,1,20,4,"12.92","271.28","2019-01-06","13:35:00","258.36","12.92","4.76"
283,1,2,26,1,"0.77","16.11","2019-01-06","11:09:00","15.34","0.77","4.76"
698,3,1,3,4,"12.44","261.20","2019-01-06","19:46:00","248.76","12.44","4.76"
385,1,1,2,5,"10.24","214.94","2019-01-06","13:58:00","204.70","10.24","4.76"
385,1,1,2,5,"10.24","214.94","2019-01-06","13:58:00","204.70","10.24","4.76"
704,3,2,12,9,"36.21","760.44","2019-01-06","11:18:00","724.23","36.21","4.76"
255,1,2,25,8,"23.56","494.76","2019-01-06","11:23:00","471.20","23.56","4.76"
949,1,2,26,7,"14.90","312.89","2019-01-06","11:51:00","297.99","14.90","4.76"
255,1,2,25,8,"23.56","494.76","2019-01-06","11:23:00","471.20","23.56","4.76"
71,2,3,3,10,"44.74","939.54","2019-01-06","12:46:00","894.80","44.74","4.76"
71,2,3,3,10,"44.74","939.54","2019-01-06","12:46:00","894.80","44.74","4.76"
71,2,3,3,10,"44.74","939.54","2019-01-06","12:46:00","894.80","44.74","4.76"
366,2,2,26,4,"16.34","343.06","2019-01-06","12:12:00","326.72","16.34","4.76"
68,3,1,10,6,"29.28","614.94","2019-01-07","15:01:00","585.66","29.28","4.76"
68,3,1,10,6,"29.28","614.94","2019-01-07","15:01:00","585.66","29.28","4.76"
249,1,3,4,4,"15.54","326.42","2019-01-07","16:11:00","310.88","15.54","4.76"
36,2,1,24,1,"3.41","71.53","2019-01-07","12:28:00","68.12","3.41","4.76"
277,2,2,15,10,"10.91","229.11","2019-01-07","17:36:00","218.20","10.91","4.76"
548,1,3,21,9,"27.43","575.98","2019-01-07","12:08:00","548.55","27.43","4.76"
276,3,2,6,7,"16.79","352.58","2019-01-07","20:52:00","335.79","16.79","4.76"
273,1,3,10,9,"9.69","203.55","2019-01-07","11:44:00","193.86","9.69","4.76"
356,3,3,11,4,"17.83","374.39","2019-01-07","12:20:00","356.56","17.83","4.76"
277,2,2,15,10,"10.91","229.11","2019-01-07","17:36:00","218.20","10.91","4.76"
249,1,3,4,4,"15.54","326.42","2019-01-07","16:11:00","310.88","15.54","4.76"
276,3,2,6,7,"16.79","352.58","2019-01-07","20:52:00","335.79","16.79","4.76"
581,2,2,5,3,"4.08","85.74","2019-01-07","12:37:00","81.66","4.08","4.76"
548,1,3,21,9,"27.43","575.98","2019-01-07","12:08:00","548.55","27.43","4.76"
273,1,3,10,9,"9.69","203.55","2019-01-07","11:44:00","193.86","9.69","4.76"
68,3,1,10,6,"29.28","614.94","2019-01-07","15:01:00","585.66","29.28","4.76"
36,2,1,24,1,"3.41","71.53","2019-01-07","12:28:00","68.12","3.41","4.76"
356,3,3,11,4,"17.83","374.39","2019-01-07","12:20:00","356.56","17.83","4.76"
36,2,1,24,1,"3.41","71.53","2019-01-07","12:28:00","68.12","3.41","4.76"
581,2,2,5,3,"4.08","85.74","2019-01-07","12:37:00","81.66","4.08","4.76"
847,2,2,1,9,"32.80","688.72","2019-01-08","19:38:00","655.92","32.80","4.76"
605,2,2,9,7,"18.16","381.39","2019-01-08","20:08:00","363.23","18.16","4.76"
879,3,1,11,10,"16.61","348.71","2019-01-08","14:25:00","332.10","16.61","4.76"
747,3,3,12,10,"32.62","684.92","2019-01-08","19:07:00","652.30","32.62","4.76"
483,1,1,5,5,"9.29","194.99","2019-01-08","13:05:00","185.70","9.29","4.76"
867,2,3,12,3,"3.65","76.58","2019-01-08","19:09:00","72.93","3.65","4.76"
863,1,2,11,3,"11.94","250.71","2019-01-08","14:30:00","238.77","11.94","4.76"
860,1,1,25,2,"1.28","26.80","2019-01-08","18:06:00","25.52","1.28","4.76"
863,1,2,11,3,"11.94","250.71","2019-01-08","14:30:00","238.77","11.94","4.76"
807,1,2,2,4,"10.05","210.97","2019-01-08","17:12:00","200.92","10.05","4.76"
483,1,1,5,5,"9.29","194.99","2019-01-08","13:05:00","185.70","9.29","4.76"
847,2,2,1,9,"32.80","688.72","2019-01-08","19:38:00","655.92","32.80","4.76"
686,3,3,24,2,"4.91","103.11","2019-01-08","12:58:00","98.20","4.91","4.76"
687,3,3,9,2,"6.48","136.14","2019-01-08","11:59:00","129.66","6.48","4.76"
879,3,1,11,10,"16.61","348.71","2019-01-08","14:25:00","332.10","16.61","4.76"
444,2,1,21,1,"0.64","13.42","2019-01-08","14:11:00","12.78","0.64","4.76"
128,2,3,22,9,"14.28","299.85","2019-01-08","16:17:00","285.57","14.28","4.76"
129,2,1,1,8,"27.42","575.74","2019-01-08","15:57:00","548.32","27.42","4.76"
686,3,3,24,2,"4.91","103.11","2019-01-08","12:58:00","98.20","4.91","4.76"
444,2,1,21,1,"0.64","13.42","2019-01-08","14:11:00","12.78","0.64","4.76"
605,2,2,9,7,"18.16","381.39","2019-01-08","20:08:00","363.23","18.16","4.76"
860,1,1,25,2,"1.28","26.80","2019-01-08","18:06:00","25.52","1.28","4.76"
417,2,3,8,4,"9.08","190.60","2019-01-08","13:48:00","181.52","9.08","4.76"
128,2,3,22,9,"14.28","299.85","2019-01-08","16:17:00","285.57","14.28","4.76"
807,1,2,2,4,"10.05","210.97","2019-01-08","17:12:00","200.92","10.05","4.76"
129,2,1,1,8,"27.42","575.74","2019-01-08","15:57:00","548.32","27.42","4.76"
268,3,2,10,10,"37.30","783.30","2019-01-08","20:55:00","746.00","37.30","4.76"
867,2,3,12,3,"3.65","76.58","2019-01-08","19:09:00","72.93","3.65","4.76"
727,2,3,28,3,"8.34","175.05","2019-01-08","11:42:00","166.71","8.34","4.76"
747,3,3,12,10,"32.62","684.92","2019-01-08","19:07:00","652.30","32.62","4.76"
268,3,2,10,10,"37.30","783.30","2019-01-08","20:55:00","746.00","37.30","4.76"
507,3,2,11,3,"7.28","152.78","2019-01-08","12:50:00","145.50","7.28","4.76"
687,3,3,9,2,"6.48","136.14","2019-01-08","11:59:00","129.66","6.48","4.76"
417,2,3,8,4,"9.08","190.60","2019-01-08","13:48:00","181.52","9.08","4.76"
727,2,3,28,3,"8.34","175.05","2019-01-08","11:42:00","166.71","8.34","4.76"
507,3,2,11,3,"7.28","152.78","2019-01-08","12:50:00","145.50","7.28","4.76"
358,2,2,17,10,"47.72","1002.12","2019-01-09","13:45:00","954.40","47.72","4.76"
945,3,1,10,3,"3.29","68.99","2019-01-09","18:43:00","65.70","3.29","4.76"
831,3,2,7,8,"4.74","99.54","2019-01-09","16:34:00","94.80","4.74","4.76"
835,1,1,12,5,"9.64","202.34","2019-01-09","13:34:00","192.70","9.64","4.76"
683,2,1,2,6,"14.80","310.72","2019-01-09","13:46:00","295.92","14.80","4.76"
952,2,2,13,10,"7.90","165.90","2019-01-09","12:07:00","158.00","7.90","4.76"
77,2,3,4,9,"22.07","463.43","2019-01-09","14:20:00","441.36","22.07","4.76"
945,3,1,10,3,"3.29","68.99","2019-01-09","18:43:00","65.70","3.29","4.76"
952,2,2,13,10,"7.90","165.90","2019-01-09","12:07:00","158.00","7.90","4.76"
978,2,2,21,7,"33.73","708.32","2019-01-09","11:40:00","674.59","33.73","4.76"
77,2,3,4,9,"22.07","463.43","2019-01-09","14:20:00","441.36","22.07","4.76"
978,2,2,21,7,"33.73","708.32","2019-01-09","11:40:00","674.59","33.73","4.76"
358,2,2,17,10,"47.72","1002.12","2019-01-09","13:45:00","954.40","47.72","4.76"
683,2,1,2,6,"14.80","310.72","2019-01-09","13:46:00","295.92","14.80","4.76"
831,3,2,7,8,"4.74","99.54","2019-01-09","16:34:00","94.80","4.74","4.76"
835,1,1,12,5,"9.64","202.34","2019-01-09","13:34:00","192.70","9.64","4.76"
77,2,3,4,9,"22.07","463.43","2019-01-09","14:20:00","441.36","22.07","4.76"
298,1,1,23,6,"23.51","493.79","2019-01-10","14:16:00","470.28","23.51","4.76"
93,1,1,7,7,"7.69","161.55","2019-01-10","16:42:00","153.86","7.69","4.76"
93,1,1,7,7,"7.69","161.55","2019-01-10","16:42:00","153.86","7.69","4.76"
9,1,3,15,2,"3.63","76.15","2019-01-10","17:15:00","72.52","3.63","4.76"
950,2,2,23,9,"22.72","477.13","2019-01-10","17:16:00","454.41","22.72","4.76"
318,2,2,12,5,"18.70","392.65","2019-01-10","11:34:00","373.95","18.70","4.76"
918,2,3,2,7,"29.10","611.08","2019-01-10","10:31:00","581.98","29.10","4.76"
950,2,2,23,9,"22.72","477.13","2019-01-10","17:16:00","454.41","22.72","4.76"
93,1,1,7,7,"7.69","161.55","2019-01-10","16:42:00","153.86","7.69","4.76"
33,3,2,21,8,"33.51","703.75","2019-01-10","14:49:00","670.24","33.51","4.76"
569,3,3,17,7,"27.95","586.97","2019-01-10","10:33:00","559.02","27.95","4.76"
318,2,2,12,5,"18.70","392.65","2019-01-10","11:34:00","373.95","18.70","4.76"
9,1,3,15,2,"3.63","76.15","2019-01-10","17:15:00","72.52","3.63","4.76"
569,3,3,17,7,"27.95","586.97","2019-01-10","10:33:00","559.02","27.95","4.76"
920,3,1,22,4,"2.76","57.88","2019-01-10","11:10:00","55.12","2.76","4.76"
298,1,1,23,6,"23.51","493.79","2019-01-10","14:16:00","470.28","23.51","4.76"
33,3,2,21,8,"33.51","703.75","2019-01-10","14:49:00","670.24","33.51","4.76"
918,2,3,2,7,"29.10","611.08","2019-01-10","10:31:00","581.98","29.10","4.76"
33,3,2,21,8,"33.51","703.75","2019-01-10","14:49:00","670.24","33.51","4.76"
920,3,1,22,4,"2.76","57.88","2019-01-10","11:10:00","55.12","2.76","4.76"
9,1,3,15,2,"3.63","76.15","2019-01-10","17:15:00","72.52","3.63","4.76"
381,1,3,12,4,"16.47","345.79","2019-01-11","10:37:00","329.32","16.47","4.76"
757,1,2,13,6,"28.96","608.08","2019-01-11","11:52:00","579.12","28.96","4.76"
407,1,3,20,5,"3.45","72.40","2019-01-11","19:07:00","68.95","3.45","4.76"
724,2,2,1,7,"12.87","270.26","2019-01-11","20:10:00","257.39","12.87","4.76"
680,1,1,19,6,"14.55","305.55","2019-01-11","13:57:00","291.00","14.55","4.76"
226,2,3,15,2,"8.72","183.04","2019-01-11","14:29:00","174.32","8.72","4.76"
680,1,1,19,6,"14.55","305.55","2019-01-11","13:57:00","291.00","14.55","4.76"
381,1,3,12,4,"16.47","345.79","2019-01-11","10:37:00","329.32","16.47","4.76"
407,1,3,20,5,"3.45","72.40","2019-01-11","19:07:00","68.95","3.45","4.76"
724,2,2,1,7,"12.87","270.26","2019-01-11","20:10:00","257.39","12.87","4.76"
757,1,2,13,6,"28.96","608.08","2019-01-11","11:52:00","579.12","28.96","4.76"
240,1,1,16,1,"4.48","94.17","2019-01-11","11:20:00","89.69","4.48","4.76"
241,1,3,3,9,"11.22","235.68","2019-01-11","16:49:00","224.46","11.22","4.76"
241,1,3,3,9,"11.22","235.68","2019-01-11","16:49:00","224.46","11.22","4.76"
240,1,1,16,1,"4.48","94.17","2019-01-11","11:20:00","89.69","4.48","4.76"
226,2,3,15,2,"8.72","183.04","2019-01-11","14:29:00","174.32","8.72","4.76"
547,1,1,8,10,"14.71","308.91","2019-01-12","16:23:00","294.20","14.71","4.76"
449,3,3,11,1,"1.35","28.42","2019-01-12","20:07:00","27.07","1.35","4.76"
862,3,2,8,7,"17.87","375.36","2019-01-12","11:42:00","357.49","17.87","4.76"
862,3,2,8,7,"17.87","375.36","2019-01-12","11:42:00","357.49","17.87","4.76"
106,1,1,12,10,"44.34","931.04","2019-01-12","14:50:00","886.70","44.34","4.76"
700,2,1,5,10,"48.75","1023.75","2019-01-12","16:18:00","975.00","48.75","4.76"
739,3,1,18,8,"36.62","769.10","2019-01-12","18:22:00","732.48","36.62","4.76"
739,3,1,18,8,"36.62","769.10","2019-01-12","18:22:00","732.48","36.62","4.76"
122,2,3,4,7,"19.99","419.83","2019-01-12","12:02:00","399.84","19.99","4.76"
419,3,1,17,2,"5.72","120.16","2019-01-12","17:13:00","114.44","5.72","4.76"
624,3,3,26,10,"41.63","874.13","2019-01-12","11:25:00","832.50","41.63","4.76"
800,3,1,16,6,"6.90","144.96","2019-01-12","16:45:00","138.06","6.90","4.76"
624,3,3,26,10,"41.63","874.13","2019-01-12","11:25:00","832.50","41.63","4.76"
419,3,1,17,2,"5.72","120.16","2019-01-12","17:13:00","114.44","5.72","4.76"
78,1,3,15,9,"9.00","189.09","2019-01-12","15:48:00","180.09","9.00","4.76"
800,3,1,16,6,"6.90","144.96","2019-01-12","16:45:00","138.06","6.90","4.76"
78,1,3,15,9,"9.00","189.09","2019-01-12","15:48:00","180.09","9.00","4.76"
106,1,1,12,10,"44.34","931.04","2019-01-12","14:50:00","886.70","44.34","4.76"
700,2,1,5,10,"48.75","1023.75","2019-01-12","16:18:00","975.00","48.75","4.76"
78,1,3,15,9,"9.00","189.09","2019-01-12","15:48:00","180.09","9.00","4.76"
547,1,1,8,10,"14.71","308.91","2019-01-12","16:23:00","294.20","14.71","4.76"
449,3,3,11,1,"1.35","28.42","2019-01-12","20:07:00","27.07","1.35","4.76"
122,2,3,4,7,"19.99","419.83","2019-01-12","12:02:00","399.84","19.99","4.76"
947,2,2,7,4,"4.21","88.37","2019-01-13","13:58:00","84.16","4.21","4.76"
76,2,3,17,10,"20.83","437.33","2019-01-13","17:04:00","416.50","20.83","4.76"
617,3,2,19,6,"21.78","457.38","2019-01-13","19:51:00","435.60","21.78","4.76"
574,3,3,21,2,"7.24","152.02","2019-01-13","19:55:00","144.78","7.24","4.76"
528,3,1,4,2,"5.99","125.71","2019-01-13","14:55:00","119.72","5.99","4.76"
196,2,2,7,1,"3.71","78.00","2019-01-13","19:30:00","74.29","3.71","4.76"
433,1,1,13,6,"7.04","147.80","2019-01-13","19:14:00","140.76","7.04","4.76"
76,2,3,17,10,"20.83","437.33","2019-01-13","17:04:00","416.50","20.83","4.76"
196,2,2,7,1,"3.71","78.00","2019-01-13","19:30:00","74.29","3.71","4.76"
433,1,1,13,6,"7.04","147.80","2019-01-13","19:14:00","140.76","7.04","4.76"
76,2,3,17,10,"20.83","437.33","2019-01-13","17:04:00","416.50","20.83","4.76"
593,1,2,27,7,"15.95","335.01","2019-01-13","10:03:00","319.06","15.95","4.76"
961,1,3,18,3,"12.15","255.18","2019-01-13","12:55:00","243.03","12.15","4.76"
528,3,1,4,2,"5.99","125.71","2019-01-13","14:55:00","119.72","5.99","4.76"
961,1,3,18,3,"12.15","255.18","2019-01-13","12:55:00","243.03","12.15","4.76"
922,1,3,10,9,"17.83","374.41","2019-01-13","17:54:00","356.58","17.83","4.76"
593,1,2,27,7,"15.95","335.01","2019-01-13","10:03:00","319.06","15.95","4.76"
574,3,3,21,2,"7.24","152.02","2019-01-13","19:55:00","144.78","7.24","4.76"
947,2,2,7,4,"4.21","88.37","2019-01-13","13:58:00","84.16","4.21","4.76"
617,3,2,19,6,"21.78","457.38","2019-01-13","19:51:00","435.60","21.78","4.76"
922,1,3,10,9,"17.83","374.41","2019-01-13","17:54:00","356.58","17.83","4.76"
671,1,1,12,10,"28.02","588.42","2019-01-14","19:30:00","560.40","28.02","4.76"
578,2,1,27,4,"6.35","133.43","2019-01-14","14:43:00","127.08","6.35","4.76"
788,2,3,18,3,"9.07","190.48","2019-01-14","10:55:00","181.41","9.07","4.76"
383,3,2,22,5,"24.92","523.37","2019-01-14","12:09:00","498.45","24.92","4.76"
578,2,1,27,4,"6.35","133.43","2019-01-14","14:43:00","127.08","6.35","4.76"
250,3,3,27,7,"25.57","536.99","2019-01-14","19:06:00","511.42","25.57","4.76"
584,3,3,11,4,"3.62","75.94","2019-01-14","18:03:00","72.32","3.62","4.76"
671,1,1,12,10,"28.02","588.42","2019-01-14","19:30:00","560.40","28.02","4.76"
203,2,2,5,7,"21.49","451.36","2019-01-14","10:02:00","429.87","21.49","4.76"
203,2,2,5,7,"21.49","451.36","2019-01-14","10:02:00","429.87","21.49","4.76"
851,2,1,5,7,"18.62","390.95","2019-01-14","15:42:00","372.33","18.62","4.76"
682,3,3,8,1,"1.74","36.55","2019-01-14","10:11:00","34.81","1.74","4.76"
742,2,1,27,1,"4.24","89.07","2019-01-14","15:20:00","84.83","4.24","4.76"
742,2,1,27,1,"4.24","89.07","2019-01-14","15:20:00","84.83","4.24","4.76"
897,2,3,24,9,"20.18","423.74","2019-01-14","14:00:00","403.56","20.18","4.76"
897,2,3,24,9,"20.18","423.74","2019-01-14","14:00:00","403.56","20.18","4.76"
250,3,3,27,7,"25.57","536.99","2019-01-14","19:06:00","511.42","25.57","4.76"
682,3,3,8,1,"1.74","36.55","2019-01-14","10:11:00","34.81","1.74","4.76"
808,3,2,26,1,"0.89","18.64","2019-01-14","10:38:00","17.75","0.89","4.76"
851,2,1,5,7,"18.62","390.95","2019-01-14","15:42:00","372.33","18.62","4.76"
808,3,2,26,1,"0.89","18.64","2019-01-14","10:38:00","17.75","0.89","4.76"
584,3,3,11,4,"3.62","75.94","2019-01-14","18:03:00","72.32","3.62","4.76"
376,1,1,24,5,"24.18","507.68","2019-01-14","12:52:00","483.50","24.18","4.76"
788,2,3,18,3,"9.07","190.48","2019-01-14","10:55:00","181.41","9.07","4.76"
383,3,2,22,5,"24.92","523.37","2019-01-14","12:09:00","498.45","24.92","4.76"
376,1,1,24,5,"24.18","507.68","2019-01-14","12:52:00","483.50","24.18","4.76"
792,3,3,13,10,"48.69","1022.39","2019-01-15","13:48:00","973.70","48.69","4.76"
837,2,2,3,10,"27.94","586.64","2019-01-15","15:01:00","558.70","27.94","4.76"
636,3,3,4,10,"33.24","697.94","2019-01-15","15:01:00","664.70","33.24","4.76"
792,3,3,13,10,"48.69","1022.39","2019-01-15","13:48:00","973.70","48.69","4.76"
38,1,1,17,9,"27.40","575.32","2019-01-15","17:17:00","547.92","27.40","4.76"
633,1,3,12,2,"8.38","175.92","2019-01-15","10:54:00","167.54","8.38","4.76"
636,3,3,4,10,"33.24","697.94","2019-01-15","15:01:00","664.70","33.24","4.76"
16,3,2,9,6,"28.12","590.44","2019-01-15","16:19:00","562.32","28.12","4.76"
192,3,1,17,2,"7.35","154.39","2019-01-15","13:41:00","147.04","7.35","4.76"
750,2,2,4,7,"28.43","597.04","2019-01-15","20:44:00","568.61","28.43","4.76"
445,1,2,8,7,"6.69","140.39","2019-01-15","10:43:00","133.70","6.69","4.76"
651,3,1,16,5,"18.92","397.22","2019-01-15","18:22:00","378.30","18.92","4.76"
651,3,1,16,5,"18.92","397.22","2019-01-15","18:22:00","378.30","18.92","4.76"
