County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
ONONDAGA,753592,Store,A,EDEN FRESH NETWORK LLC,PLUM & MULE COMMUNITY MARKET,1970,W FAYETTE ST,,,SYRACUSE,NY,13204,2073,POINT (-76.186121365 43.055327238)
KINGS,741485,Store,JAC,MAX GROCERY CORP,MAX GROCERY,198,KNICKERBOCKER AVE,,,BROOKLYN,NY,11237,1200,POINT (-73.926780957 40.703481925)
NASSAU,722930,Store,A,WALGREEN EASTERN CO INC,WALGREENS #13961,12,E JERICHO TPKE,,,MINEOLA,NY,11501,13000,POINT (-73.633896389 40.752032004)
NEW YORK,732146,Store,JAC,HELLS KITCHEN DELI FOOD CORP,HELLS KITCHEN DELI FOOD,535,9TH AVENUE,,,NEW YORK,NY,10018,1500,POINT (-73.993871805 40.757032815)
SUFFOLK,758824,Store,JAC,HAPPY NOODLE LLC,HAPPY NOODLE,29,ROUTE 25A,UNIT 29,,MOUNT SINAI,NY,11766,1000,POINT (-73.034496435 40.933467602)
QUEENS,749951,Store,JAC,ELEVEN MADISON HOME LLC,ELEVEN MADISON HOME,38-03,24TH STREET,,,LONG ISLAND CITY,NY,11101,0,POINT (-73.936658862 40.755966972)
BRONX,607888,Store,JAC,SANTOS FISH MARKET INC,SANTOS FISH MARKET,2859,WHITE PLAINS RD,,,BRONX,NY,10467,1400,POINT (-73.867485697 40.867659436)
KINGS,612973,Store,JACH,YOSSIS FISH MARKET CORP,YOSSIS FISH MARKET,5324,13TH AVE,,,BROOKLYN,NY,11219,600,POINT (-73.995022389 40.632432471)
CAYUGA,724812,Store,JAC,"HORNING, TIM & VERA",HORNING'S PRODUCE,2213,STATE ROUTE 370,,,CATO,NY,13033,1400,POINT (-76.594273698 43.167363151)
NEW YORK,711468,Store,JAC,2196 DELI GROCERY,2196 DELI & GROCERY,2196,AMSTERDAM AVE,,,NEW YORK,NY,10032,1800,POINT (-73.936565991 40.840675072)
KINGS,747248,Store,JAC,URTH MARKET LLC,MARKET ON KENT,921,MANHATTAN AVENUE,,,BROOKLYN,NY,11222,6000,POINT (-73.954524972 40.730791591)
FRANKLIN,719892,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16269,884,STATE RT 11,,,MOIRA,NY,12957,3,POINT (-74.548297066 44.82095645)
SCHOHARIE,430115,Store,JAC,SAP BUSH HOLLOW FARM LLC,SAP BUSH HOLLOW FARM,1314,W FULTON RD,,,WARNERVILLE,NY,12187,1000,POINT (-74.467549331 42.596568746)
BRONX,601566,Store,JAC,GONZALEZ ALBERTO,GONZALEZ GROCERY STORE,2665,VALENTINE AVE,,,BRONX,NY,10458,1200,POINT (-73.893174973 40.865780339)
BRONX,607554,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #3788,2641,E TREMONT AVE,,,BRONX,NY,10461,14000,POINT (-73.846016877 40.843021712)
ORANGE,710940,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14171,1065,STATE ROUTE 52,,,WALDEN,NY,12586,6000,POINT (-74.173651235 41.562764334)
SUFFOLK,470215,Store,JAC,DHAVAL INC,MINI MART,310,BAY SHORE RD,,,NORTH BABYLON,NY,11703,1000,POINT (-73.3079344 40.741791497)
FULTON,757061,Store,A,HICKORY HILL FARMS LLC,HICKORY HILL FARMS,1421,OLD TRAIL RD,,,JOHNSTOWN,NY,12095,0,POINT (-74.409833473 42.978949911)
GREENE,756263,Store,A,WT HOMEMADE LLC,WTS & COMPANY,5316,"MAIN STREET, REAR BARN",,,WINDHAM,NY,12496,0,POINT (-74.248081369 42.308171016)
BRONX,713952,Store,A,DISCOUNT CRAZE INC,DISCOUNT CRAZE,940,MORRIS AVE,,,BRONX,NY,10456,2200,POINT (-73.917204884 40.827532667)
KINGS,612219,Store,JABC,632 VANDERBILT FOOD CORP,FOODTOWN,632,VANDERBILT AVE,,,BROOKLYN,NY,11238,4200,POINT (-73.969208893 40.677294135)
BROOME,712959,Store,JAC,MIRABITO HOLDINGS INC,MIRABITO STORE #79,733,HARRY L DR,,,JOHNSON CITY,NY,13790,2300,POINT (-75.978427192 42.123947466)
KINGS,739916,Store,JAC,FRANCENA MINI MART FOOD CORP,FRANCENA MINI MART FOOD,1608,STERLING PLACE,,,BROOKLYN,NY,11213,2400,POINT (-73.925479163 40.671077571)
QUEENS,729794,Store,JAC,JOONS SEASIDE FISH CORP,JOON'S SEASIDE FISH,21-34,MOTT AVE.,,,FAR ROCKAWAY,NY,11691,0,POINT (-73.754536367 40.605144766)
ONONDAGA,751277,Store,JAC,JOES KWIK MARTS LLC,JOES KWIK MART #NY0135,4803,W TAFT RD,,,LIVERPOOL,NY,13088,0,POINT (-76.185062563 43.119524193)
RICHMOND,735744,Store,JAC,LUS LICENSING LLC,LIDL #1372,283,PLATINUM AVE,,,STATEN ISLAND,NY,10314,20000,POINT (-74.166798933 40.579957986)
KINGS,617670,Store,A,FAMILY DOLLAR STORES OF NEW YORK LLC,FAMILY DOLLAR STR #6208,1090,FULTON ST,,,BROOKLYN,NY,11238,5000,POINT (-73.957203158 40.681331028)
KINGS,758144,Store,JAC,MUSAED DELI INC,MUSAED DELI,3554,NOSTRAND AVE,,,BROOKLYN,NY,11229,2500,POINT (-73.941469991 40.597228771)
BRONX,607931,Store,JAC,H&M FOOD CORP I,H&M FOOD CORP,131,EINSTEIN LOOP,,,BRONX,NY,10475,2000,POINT (-73.822318555 40.864498076)
SUFFOLK,473462,Store,JAC,LAIBA INC,PJ VILLAGE GROCERY,328,MAIN ST,,,PORT JEFFERSON,NY,11777,1500,POINT (-73.067844339 40.944240736)
NEW YORK,753205,Store,JAC,SUSHI MARU EXPRESS INC,SUSHI MARU (@GRISTEDES),1446,2ND AVE 75TH ST,,,NEW YORK,NY,10021,80,POINT (-73.95659715 40.771102197)
ORLEANS,340086,Store,JAC,REID STORES INC,CROSBYS 40008,204,S MAIN ST,,,ALBION,NY,14411,3000,POINT (-78.19467171 43.240657865)
WESTCHESTER,730671,Store,JAC,GARFIELD GROCERY CORP,GARFIELD GROCERY,51,GARFIELD STREET,,,YONKERS,NY,10701,0,POINT (-73.884092175 40.933802207)
KINGS,733560,Store,JAC,SONGS UTICA MARKET CORP,UTICA FOOD MARKET,848,UTICA AVENUE,,,BROOKLYN,NY,11203,2300,POINT (-73.930645685 40.652377336)
NEW YORK,741134,Store,JAC,1316 CORP,FOODTOWN,1316,AMSTERDAM AVENUE,,,NEW YORK,NY,10027,15000,POINT (-73.957219 40.812389711)
DUTCHESS,131080,Store,JAC,SANGHERA ENTERPRISE INC,OSBORNE DELI,117,OSBORNE HILL RD,,,FISHKILL,NY,12524,1500,POINT (-73.909833503 41.556805098)
MONROE,751705,Store,JAC,NIBLACK DOUGLAS H,NIBLACK FOODS,900,JEFFERSON RD BLDG 904,,,ROCHESTER,NY,14623,0,POINT (-77.613929788 43.087459641)
DUTCHESS,130350,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP 364,860,RT 376,,,WAPPINGERS FALLS,NY,12590,3500,POINT (-73.825012918 41.606455805)
ORANGE,330279,Store,JABC,ADAMS FAIRACRE FARMS INC,ADAMS FAIRACRE FARMS,1240,RT 300,,,NEWBURGH,NY,12550,58000,POINT (-74.068533273 41.502749408)
SENECA,703424,Store,JAC,SCHRADER KEITH,SCHRADER FARMS MEAT MARKET,1937,SOMERVILLE ROAD,,,ROMULUS,NY,14541,1000,POINT (-76.835854466 42.744595926)
BRONX,603267,Store,JABC,JVD FOOD CORP,PRICE CHOICE,820,E 180TH ST,,,BRONX,NY,10460,9000,POINT (-73.885075456 40.846138858)
KINGS,616768,Store,JAC,J&A GLATT MEATS INC,PRIME CUT/MASTER BUTCHER,431,AVENUE U,,,BROOKLYN,NY,11223,2500,POINT (-73.968156294 40.597670875)
WESTCHESTER,753075,Store,JAC,MOES PALISADE DELI & GROCERY INC,MOE'S PALISADE DELI & GROCERY,45,PALISADE AVENUE,,,YONKERS,NY,10701,0,POINT (-73.895267096 40.934792152)
OTSEGO,724819,Store,JAC,STEWARTS SHOPS CORP,STEWARTS SHOP #163,119,MAIN ST,,,RICHFIELD SPRINGS,NY,13439,0,POINT (-74.987153064 42.854015214)
BRONX,604974,Store,A,RITE AID OF NEW YORK INC,RITE AID PHARMACY 03844,950-960,SOUTHERN BLVD,,,BRONX,NY,10459,5000,POINT (-73.89149809 40.821971107)
ROCKLAND,390680,Store,JAC,ALIZEH FOOD MART INC,ALIZEH FOOD MART,22,N MAIN ST,,,SPRING VALLEY,NY,10977,2000,POINT (-74.044550552 41.112782034)
RENSSELAER,744964,Store,JAC,MINGALA STORE LLC,MINGALA STORE,42,PARTITION ST,,,RENSSELAER,NY,12144,3000,POINT (-73.73685097 42.645216264)
ERIE,140885,Store,JAC,NICS VILLAGE DELI INC,NICS VILLAGE DELI,83,JOHN ST,,,AKRON,NY,14001,1500,POINT (-78.495381288 43.020975014)
BRONX,743037,Store,JAC,ALEX DELI GROCERY CORP,ALEX DELI GROCERY,1278,MORRISON AVE,,,BRONX,NY,10472,1800,POINT (-73.874953889 40.831518178)
SUFFOLK,759320,Store,JAC,CASILDA INC,LA PATRONA DELI,184,DEPOT ROAD,,,HUNTINGTON STATION,NY,11746,1500,POINT (-73.405589021 40.844033994)
SARATOGA,704269,Store,JABC,ROAD TO HANA INC,HEALTHY LIVING MARKET,3065,RT 50,WILTON MALL SPACE MAJ03,,SARATOGA SPRINGS,NY,12866,35000,POINT (-73.738198194 43.102179478)
KINGS,672036,Store,JAC,SANDWICH SPOT DELI CORP THE,SANDWICH SPOT DELI,1075,FLATBUSH AVE,,,BROOKLYN,NY,11226,1500,POINT (-73.957768266 40.644322411)
ONONDAGA,705255,Store,JAC,SYRACUSE UNIVERSITY,WEST CAMPUS EXPRESS,150,HENRY ST,,,SYRACUSE,NY,13210,5000,POINT (-76.140909799 43.036708056)
KINGS,727299,Store,JAC,ITO EN (NORTH AMERICA) INC,ITO EN,34,34TH STREET,2ND FLOOR UNIT 3,,BROOKLYN,NY,11232,6000,POINT (-74.007187297 40.657701395)
BRONX,608279,Store,A,BARGAIN TEAM INC,BARGAIN TEAM,216,WILLIS AVE,,,BRONX,NY,10454,2500,POINT (-73.923348819 40.80817835)
KINGS,719140,Store,JAC,79TH ST GOURMET AND DELI INC,79TH ST GOURMET AND DELI,7818,NEW UTRECHT,,,BROOKLYN,NY,11214,1500,POINT (-74.000955435 40.612891112)
WESTCHESTER,729306,Store,JAC,SOUTH 5TH AVE DELI CORP,SOUTH 5TH AVE DELI,451,SOUTH 5TH AVE,,,MOUNT VERNON,NY,10550,0,POINT (-73.833607881 40.900103607)
QUEENS,752206,Store,JAC,SABA RESTAURANT CORP,AI QUDS,25-75,STEINWAY STREET,,,ASTORIA,NY,11103,0,POINT (-73.913056512 40.766043864)
QUEENS,638456,Store,JAC,ADAMES DELI CORP,ADAMES DELI GROCERY,250-13,HOOK CREEK BLVD,,,ROSEDALE,NY,11422,2200,POINT (-73.729320836 40.663552299)
QUEENS,743070,Store,JAC,LEES FAMILY FARM CORP,LEES FAMILY FARM,2901,BROADWAY,,,ASTORIA,NY,11106,0,POINT (-73.926786405 40.762778107)
ORANGE,331374,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #13496,280,RT 211 E,,,MIDDLETOWN,NY,10940,9043,POINT (-74.399724314 41.454382313)
YATES,575003,Store,A,GLENORA WINE CELLARS INC,GLENORA WINE CELLARS,5435,RT 14,,,DUNDEE,NY,14837,18000,POINT (-76.923801013 42.500094675)
KINGS,719547,Store,JAC,NOSTRAND DELI & GRILL INC,NOSTRAND DELI & GRILL,1840,NOSTRAND AVE,,,BROOKLYN,NY,11226,0,POINT (-73.948668034 40.640813327)
QUEENS,637920,Store,JAC,GREEN POINT MARKET INC,GREEN POINT MARKET,220-12,HEMPSTEAD AVE,,,QUEENS VILLAGE,NY,11429,2000,POINT (-73.733667104 40.712573692)
ERIE,720423,Store,A,ESFOOR MUSA,CITY CANDY GROCERY,544,FARGO AVE,,,BUFFALO,NY,14213,1500,POINT (-78.897500662 42.910340388)
QUEENS,733800,Store,JAC,138-37 FOOD CORP,KEY FOOD SUPERMARKET,138-37,QUEENS BLVD,,,JAMAICA,NY,11435,0,POINT (-73.817517652 40.708024581)
KINGS,748039,Store,JAC,PACIFIC MINI MART 1 CORP,PACIFIC MINI MART 1,44,4TH AVENUE,,,BROOKLYN,NY,11217,1800,POINT (-73.979216718 40.683458103)
QUEENS,633334,Store,JAC,CALDWELL DELI CORP,CALDWELL DELI,69-50,CALDWELL AVE,,,MASPETH,NY,11378,1600,POINT (-73.892433007 40.7238787)
NEW YORK,625570,Store,JAC,TEUSCHER PROMENADE LLC,TEUSCHER CHOCOLATES,620,5TH AVE,,,NEW YORK,NY,10020,500,POINT (-73.97748552 40.758468258)
ERIE,140970,Store,A,RITE AID OF NEW YORK INC,RITE AID 1194,1941,SENECA ST,,,BUFFALO,NY,14210,12000,POINT (-78.81337502 42.857887863)
STEUBEN,745748,Store,JAC,7 ELEVEN INC,7-ELEVEN STORE #35096J,315,CANISTEO STREET,,,HORNELL,NY,14843,0,POINT (-77.662414069 42.319321498)
DUTCHESS,130781,Store,A,FAMILY DOLLAR STORES OF NEW YORK LLC,FAMILY DOLLAR #23551,13,NORTH AVE SUITE 5,,,PLEASANT VALLEY,NY,12569,6000,POINT (-73.826077 41.745017423)
QUEENS,727219,Store,JAC,110 SUTPHIN DELI GROCERY CORP,110 SUTPHIN DELI GROCERY,110-10,SUTPHIN BLVD,,,JAMAICA,NY,11435,1500,POINT (-73.796709913 40.689716828)
